2018_43-44_lab1_Christoph&Ging_Time_November 5, 2018_18.15
g,s,m,t,d,v,gneun,gneup,gp,gn,g45,g10,g20,g30,g40,g50,g60,g70,g80,g89,g01,sneun,sneup,sp,sn,s45,s10,s20,s30,s40,s50,s60,s70,s80,s89,s01,mneun,mneup,mp,mn,m45,m10,m20,m30,m40,m50,m60,m70,m80,m89,m01,tneun,tneup,tp,tn,t45,t10,t20,t30,t40,t50,t60,t70,t80,t89,t01,dneun,dneup,dp,dn,d45,d10,d20,d30,d40,d50,d60,d70,d80,d89,d01,vneun,vneup,vp,vn,v45,v10,v20,v30,v40,v50,v60,v70,v80,v89,v01,gd0,gd-40,gd-30,gd-20,gd-10,gd10,gd20,gd30,gd40,st0,st-40,st-30,st-20,st-10,st10,st20,st30,st40,mv0,mv-40,mv-30,mv-20,mv-10,mv10,mv20,mv30,mv40,gender,age,ethnicity,edu,sports,sportshr,game,gamehr,music,musichr,vacuum,vacuumhr,dish,dishhr,traffic,traffichr
70,0,100,-25,-100,-100,,,0,,1,2,2,1,1,1,1,1,1,2,2,0,0,,,1,1,1,1,1,1,2,2,2,1,1,,,10,,1,2,2,1,1,1,1,1,1,2,2,,,,0,1,1,1,1,1,1,1,2,2,1,1,,,,0,1,1,1,1,1,1,1,2,2,1,1,,,,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,23,1,2,8,8,3,4,1,7,2,1,3,2,8,8
100,60,100,-51,-90,-100,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,20,,1,1,1,1,1,1,1,1,1,2,2,,,,15,1,1,1,1,1,1,1,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,19,4,4,4,6,7,8,1,7,4,3,4,2,5,1
93,49,53,-66,-40,-36,,,10,,2,2,2,2,2,2,1,1,1,2,1,,,15,,1,2,2,1,1,1,1,1,1,2,1,,,2,,1,2,2,2,2,2,2,2,2,1,2,,,,20,1,1,1,1,2,2,2,2,2,1,1,,,,10,1,1,1,1,2,2,2,2,2,1,1,,,,8,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,2,4,7,5,1,4,3,1,2,1,2,5
53,100,100,-77,-68,40,,,5,,1,2,2,2,2,1,1,1,1,2,2,,,20,,1,1,1,1,1,1,1,1,1,2,2,,,9,,1,1,1,1,1,1,1,1,1,2,2,,,,10,1,1,1,1,1,2,2,2,2,1,1,,,,15,1,1,1,1,1,1,2,2,2,1,1,,,0,,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,19,1,2,2,3,3,3,1,7,4,2,2,3,5,4
73,60,80,-60,-70,-70,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,5,,1,1,1,1,1,2,2,2,2,1,2,,,15,,2,2,2,2,2,1,1,1,1,2,2,,,,10,1,1,1,1,1,1,2,2,2,1,1,,,,25,1,1,1,1,1,2,2,2,2,1,1,,,,20,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,3,6,6,2,1,3,4,1,8,8,5,1
100,100,100,-60,-15,-10,,,5,,1,2,2,2,1,1,1,1,1,2,2,,,10,,1,2,2,2,2,2,1,1,1,2,2,,,10,,1,2,2,2,2,2,1,1,1,1,2,,,,5,2,1,1,1,1,1,1,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,22,3,4,3,6,6,2,1,3,4,1,1,1,7,2
85,85,65,-40,-75,-75,,,8,,1,2,2,2,2,1,1,1,1,2,2,,,8,,1,2,2,2,1,1,1,1,1,2,2,,,4,,1,1,1,2,2,2,1,1,1,2,2,,,,3,1,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,1,1,2,2,2,1,1,,,,8,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,18,1,2,5,5,2,6,1,3,8,8,4,2,8,8
78,77,50,-13,-44,-85,,,10,,1,1,1,1,1,1,1,1,1,1,2,,,8,,1,2,2,1,1,1,1,1,1,2,1,,,1,,1,2,2,1,1,1,1,1,1,2,2,,,,5,1,1,1,1,2,2,2,2,2,1,1,,,,0,1,1,1,1,1,1,1,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,21,1,4,7,1,6,3,2,1,8,1,1,1,6,3
60,100,90,-80,-15,-50,,,15,,1,2,2,1,1,1,1,1,1,2,2,,,30,,1,2,2,1,1,1,1,1,1,2,2,,,20,,1,2,2,1,1,1,1,1,1,2,2,,,,15,2,1,1,1,2,2,2,2,2,1,1,,,,4,1,1,1,1,2,2,2,2,2,1,1,,,,20,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,18,1,2,3,6,4,4,2,4,5,3,2,3,7,2
57,100,81,-100,-32,-93,,,0,,1,2,2,1,1,1,1,1,1,2,1,,,5,,1,2,2,2,1,1,1,1,1,2,2,,,0,,1,1,1,1,1,1,1,1,1,1,2,,,,5,1,1,1,1,1,1,2,2,2,1,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,1,4,6,5,1,2,4,2,1,1,6,2
70,50,100,-100,-100,-100,,,10,,2,2,2,2,2,2,2,2,2,1,2,,,10,,1,1,1,1,1,1,2,2,2,1,1,,,5,,1,1,1,1,1,1,1,1,1,2,2,,,,1,2,1,1,1,2,2,2,2,2,1,1,,,,10,1,1,1,1,2,2,2,2,2,1,1,,,,5,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,20,1,2,8,8,6,2,1,5,8,8,6,2,8,8
50,100,100,31,20,10,,,1,,2,1,1,2,2,2,2,2,2,1,2,,,5,,1,1,1,1,1,1,1,1,2,2,2,,,10,,1,1,1,1,1,1,1,2,2,2,2,,,3,,2,1,1,2,2,2,2,2,2,1,1,,,2,,1,1,1,1,1,1,2,2,2,1,1,,,1,,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,18,1,2,3,4,7,2,1,7,4,2,1,2,7,1
100,85,100,-100,-100,-75,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,5,,1,1,1,1,1,1,1,1,1,1,2,,,15,,1,2,2,1,1,1,1,1,1,2,2,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,,15,1,1,1,1,2,2,2,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,18,1,2,8,8,2,6,1,3,5,2,4,1,5,2
100,80,100,-50,-10,-60,,,3,,1,2,2,2,1,1,1,1,1,1,2,,,1,,1,2,2,2,2,1,1,1,1,2,2,,,60,,1,2,2,2,1,1,1,1,1,2,2,,,,2,2,1,1,1,2,2,2,2,2,1,1,,,,5,1,1,1,1,2,2,2,2,2,1,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,19,1,2,3,4,1,5,1,7,4,1,8,8,8,8
80,60,100,-40,-100,-90,,,2,,2,2,2,1,1,2,2,2,2,2,1,,,1,,1,1,1,1,1,1,2,2,2,1,2,,,3,,1,2,2,1,1,1,1,1,1,2,2,,,,1,1,1,1,1,2,2,2,2,2,1,1,,,,15,1,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,20,1,2,5,1,7,4,1,7,4,2,1,2,7,3
60,80,100,-100,-100,-60,,,0,,1,2,2,2,1,1,1,1,1,2,1,,,5,,1,2,2,2,1,1,1,1,1,2,2,,,3,,1,2,2,1,1,1,1,1,1,2,2,,,,5,1,1,1,1,1,1,1,2,2,1,1,,,,4,1,1,1,1,1,1,1,2,2,1,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,19,1,2,5,4,5,6,1,3,4,2,4,2,5,2
60,100,33,-100,-100,-100,,,2,,1,2,1,1,1,1,1,1,1,1,2,,,20,,1,2,1,1,1,1,1,1,1,1,2,,,0,,1,1,1,1,1,1,1,1,1,1,2,,,,20,1,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,18,1,4,4,5,3,4,3,2,4,1,2,2,7,2
49,72,84,-40,-60,-56,,,3,,1,2,2,1,1,1,1,1,1,1,2,,,25,,1,2,1,1,1,1,1,1,1,2,2,,,5,,1,2,2,1,1,1,1,1,1,1,2,,,,5,2,1,1,2,2,2,2,2,2,1,1,,,,1,1,1,1,1,2,2,2,2,2,1,1,,,,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,28,1,2,3,2,2,4,1,3,4,2,2,2,7,3
92,90,80,-65,-10,-25,,,5,,1,2,2,2,2,1,1,1,1,1,2,,,10,,1,2,2,2,2,1,1,1,1,2,1,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,,15,2,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,19,1,2,2,5,4,5,1,3,5,2,7,2,6,3
80,100,40,-50,-70,-100,,,0,,1,2,2,2,1,1,1,1,1,2,2,,,30,,1,2,2,1,1,1,1,1,1,2,2,,,0,,2,1,1,1,1,2,2,2,2,1,1,,,,0,2,1,1,1,1,2,2,2,2,1,1,,,,15,2,1,1,1,2,2,2,2,2,1,1,,,,20,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,19,1,3,3,2,6,5,1,7,4,1,3,1,7,8
100,100,100,-50,-100,-70,,,10,,1,2,2,1,1,1,1,1,1,2,2,,,20,,1,2,2,2,1,1,1,1,1,2,2,,,20,,1,2,2,2,1,1,1,1,1,2,2,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,,15,2,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,19,1,2,3,7,3,3,2,6,4,1,5,1,7,2
100,65,100,-100,-100,-100,,,80,,1,2,2,2,2,1,1,1,1,2,2,,,25,,1,1,1,1,1,2,2,2,2,1,2,,,50,,1,2,2,2,2,1,1,1,1,2,2,,,,20,2,1,1,1,1,1,1,2,2,1,1,,,,30,2,1,1,2,2,2,2,2,2,1,1,,,,0,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,20,1,2,5,4,1,7,1,7,7,2,5,6,8,8
60,90,90,-90,-90,-80,,,0,,1,1,1,1,1,1,1,1,1,2,2,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,7,,1,1,1,1,1,1,1,1,1,2,2,,,,5,2,1,1,1,1,2,2,2,2,1,1,,,,10,2,1,1,1,1,2,2,2,2,1,1,,,,7,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,3,6,5,2,1,4,7,1,2,1,8,8
97,39,97,-94,-51,-97,,,5,,1,2,2,1,1,1,1,1,1,2,2,,,5,,1,1,1,1,1,1,1,1,1,1,2,,,0,,1,2,2,2,2,1,1,1,1,2,2,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,,5,2,1,1,2,2,2,2,2,2,1,1,,,,5,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,21,1,3,5,4,4,2,1,4,4,2,3,1,5,2
61,100,72,-100,-80,-17,,,0,,1,1,1,1,1,1,1,1,1,2,2,,,0,,1,1,1,1,1,1,1,1,1,1,2,,,0,,1,1,1,1,1,1,1,1,1,2,2,,,,3,2,1,1,1,2,2,2,2,2,1,1,,,,5,2,1,1,1,1,2,2,2,2,1,1,,,,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,4,4,7,3,1,2,5,2,5,1,7,2
60,25,100,-50,0,-80,,,5,,1,2,2,2,2,1,1,1,1,1,2,,,3,,1,1,1,1,1,2,2,2,2,1,1,,,50,,1,2,2,1,1,1,1,1,1,2,2,,,,15,2,1,1,1,1,2,2,2,2,1,1,5,0,,,2,1,1,1,1,2,2,2,2,1,1,,,,0,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,22,1,2,8,8,5,4,1,7,3,1,1,3,8,8
50,100,100,-83,-50,-42,,,5,,1,2,2,1,1,1,1,1,1,1,2,,,15,,1,2,2,2,1,1,1,1,1,2,2,,,18,,1,2,2,2,1,1,1,1,1,2,2,,,,15,2,1,1,1,1,2,2,2,2,1,1,,,,12,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,22,1,2,3,4,7,4,1,6,5,2,1,1,6,3
80,100,100,-100,-85,-90,,,5,,1,1,1,1,1,1,1,1,1,2,2,,,10,,1,2,2,1,1,1,1,1,1,2,1,,,8,,1,1,1,1,1,1,1,1,1,2,2,,,,15,2,1,2,2,2,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,,5,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,21,4,4,3,6,5,4,1,6,5,2,2,1,7,2
61,81,100,-90,-12,-21,,,2,,1,1,1,1,1,2,2,2,2,1,2,,,0,,1,1,1,1,1,1,1,1,1,1,2,,,0,,1,1,1,1,1,2,2,2,2,1,2,,,,10,2,1,1,1,1,2,2,2,2,1,1,,,,2,1,1,1,1,1,1,2,2,2,1,1,,,,5,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,4,5,4,2,1,5,5,2,5,3,5,1
50,20,100,-50,-90,10,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,5,,1,1,1,1,1,1,1,1,1,2,1,,,20,,1,1,1,1,1,1,1,1,1,2,2,,,,10,2,1,1,1,1,2,2,2,2,1,1,,,,20,2,1,1,1,1,1,2,2,2,1,1,,,10,,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,20,1,2,6,4,5,7,1,7,4,4,3,3,7,8
50,65,100,-15,-75,-85,,,10,,1,2,1,1,1,1,2,2,2,1,2,,,20,,2,2,2,2,1,1,1,1,1,2,2,,,50,,1,1,1,1,1,1,1,1,1,2,2,,,,15,2,1,1,1,1,2,2,2,2,1,1,,,,0,2,1,1,1,1,1,2,2,2,1,1,,,,10,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,18,1,2,6,3,7,6,1,7,4,2,4,1,7,8
40,70,100,-40,-100,-100,,,0,,2,1,1,2,2,2,2,2,2,1,1,,,20,,2,1,1,1,1,2,2,2,2,1,2,,,0,,1,1,1,1,1,1,1,1,1,2,2,,,,50,2,1,1,1,2,2,2,2,2,1,1,,,,20,2,1,2,2,2,2,2,2,2,1,1,,,,20,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,20,6,2,8,8,8,8,1,7,5,2,8,8,8,8
45,23,100,-77,-26,-36,,,0,,1,1,1,1,1,1,2,2,1,2,2,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,20,,2,2,2,2,2,1,1,1,1,2,2,,,,12,2,1,1,1,2,2,2,2,1,1,1,,,,0,2,1,1,2,2,2,2,2,2,1,1,,,,0,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,20,1,2,7,4,6,7,1,7,4,2,1,1,8,8
100,70,100,-90,-100,-100,,,0,,1,2,2,2,2,1,1,1,1,2,2,,,0,,1,1,1,1,1,1,2,2,2,1,2,,,20,,1,1,1,1,1,1,1,1,2,2,2,,,,50,2,1,1,1,2,2,2,2,2,1,1,,,,25,1,1,1,1,1,1,1,2,2,1,1,,,,20,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,19,1,2,3,5,3,6,1,3,8,8,7,1,7,1
83,73,100,-70,-60,-50,,,20,,1,1,1,1,1,1,1,2,2,1,2,,,20,,1,1,1,1,1,1,1,1,1,2,2,,,20,,1,2,1,1,1,1,1,2,2,1,2,,,,50,2,1,1,1,2,2,2,2,2,1,1,,,,0,2,1,1,1,2,1,2,2,2,1,1,,,,20,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,19,1,2,3,6,4,4,1,4,5,1,1,1,4,3
100,50,100,15,-100,-100,,,10,,1,1,1,1,1,1,1,1,1,2,1,,,0,,1,1,1,1,1,2,2,2,2,2,2,,,15,,1,1,1,1,1,1,1,1,1,2,2,,,0,,2,1,1,1,1,2,2,2,2,1,2,,,,10,2,2,1,1,1,2,2,2,2,1,1,,,,10,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,21,1,4,3,5,6,7,1,5,5,2,7,1,6,3
71,92,100,-100,-45,-60,,,7,,1,1,1,1,1,1,1,1,1,2,2,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,5,,1,2,2,1,1,1,1,1,1,2,2,,,,35,2,2,2,2,2,2,2,2,2,1,1,,,,10,2,1,2,2,2,2,2,2,2,1,1,,,,25,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,20,6,2,6,4,7,8,1,8,8,8,4,1,7,8
100,90,100,-70,-90,-70,,,8,,1,2,2,2,1,1,1,1,1,2,2,,,8,,1,2,2,2,2,2,1,1,1,2,2,,,10,,2,2,2,2,2,2,1,1,1,2,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,15,2,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,20,1,2,5,4,7,7,1,3,5,3,1,1,8,8
100,75,82,1,-47,39,,,20,,1,1,1,1,1,1,1,1,1,2,2,,,30,,2,1,1,1,2,2,2,2,2,1,2,,,10,,1,1,1,1,1,1,1,1,1,1,2,,,7,,1,1,1,1,1,2,2,2,2,1,1,,,,30,2,1,1,2,2,2,2,2,2,1,1,,,15,,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,3,2,4,2,1,6,1,1,4,3,1,4,7,1
100,44,77,-79,5,-48,,,15,,1,2,2,1,1,1,1,1,1,2,2,,,5,,1,2,2,1,1,1,1,1,1,2,2,,,10,,1,2,1,1,1,1,1,1,1,2,2,,,,20,1,1,1,1,1,1,2,2,2,1,1,,,0,,1,1,1,1,1,1,2,2,2,1,1,,,,5,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,18,1,2,3,1,3,6,1,4,5,2,1,1,5,3
100,100,100,-24,-67,-35,,,0,,1,2,2,2,1,1,1,1,1,2,1,,,7,,1,2,2,1,1,1,1,2,2,2,1,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,,0,1,1,1,1,1,1,1,1,1,1,1,,,,0,1,1,1,1,1,1,1,2,2,1,1,,,,0,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,19,1,2,4,6,8,8,1,7,4,2,1,2,7,8
57,100,100,-100,22,-80,,,2,,1,2,2,2,1,1,1,1,1,2,2,,,6,,1,2,2,2,1,1,1,1,1,2,2,,,0,,1,2,2,1,1,1,1,1,1,2,2,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,5,,1,1,1,1,1,2,2,2,2,1,2,,,,0,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,20,1,2,3,4,5,4,1,2,5,2,3,1,6,1
82,83,88,-35,-80,-51,,,5,,1,2,2,2,2,1,1,1,1,2,2,,,5,,1,2,2,2,2,1,1,1,1,2,2,,,1,,1,2,2,1,1,1,1,1,1,2,2,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,1,1,2,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,24,1,2,3,6,6,6,4,4,6,2,8,8,8,8
48,-6,100,-83,-100,16,,,5,,1,1,1,1,1,1,1,1,1,2,2,,,,10,1,1,1,1,2,2,2,2,2,1,2,,,5,,1,2,1,1,1,1,1,1,1,1,2,,,,10,1,1,1,1,1,2,2,2,2,1,1,,,,15,1,1,1,1,1,2,2,2,2,1,1,,,0,,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,18,1,4,3,5,5,4,1,3,4,1,4,1,5,3
100,50,65,-60,-15,-50,,,0,,1,2,2,2,2,1,1,1,1,2,2,,,1,,1,1,1,1,1,1,1,2,2,1,2,,,0,,1,1,1,1,1,1,2,2,2,1,2,,,,1,1,1,1,1,1,2,2,2,2,1,1,,,,2,1,1,1,1,1,2,2,2,2,1,1,,,,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,19,1,2,2,3,1,4,2,6,7,1,8,8,8,8
55,71,85,-90,-45,-30,,,2,,1,1,1,1,1,1,1,2,2,1,2,,,3,,1,2,2,2,1,1,1,1,1,2,2,,,5,,1,2,2,2,1,1,1,1,1,2,2,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,2,1,1,1,1,1,1,2,2,2,1,1,,,,3,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,19,1,2,3,6,5,4,1,7,3,1,3,2,5,4
77,56,100,-60,-34,-67,,,3,,1,2,2,2,1,1,1,1,1,2,2,,,3,,1,2,2,2,1,1,1,1,1,2,2,,,5,,1,2,2,2,1,1,1,1,1,1,2,,,,5,1,1,1,1,1,2,1,2,2,1,1,,,,7,1,1,1,1,1,1,2,2,2,1,1,,,,10,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,18,1,2,5,6,4,4,1,7,3,2,1,1,4,3
58,56,70,-90,-68,-100,,,2,,2,2,2,2,2,1,1,1,1,2,2,,,5,,1,2,2,2,2,1,1,1,1,2,2,,,2,,1,2,2,2,1,1,1,1,1,2,2,,,,3,1,1,1,1,1,2,2,2,2,1,1,,,,5,2,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,19,1,2,3,3,7,4,1,3,4,2,1,1,6,1
-5,50,100,-100,-100,-100,,,,0,1,2,2,1,1,1,1,1,1,2,2,,,5,,1,1,1,1,1,1,2,2,2,1,2,,,5,,1,1,2,2,1,1,1,1,1,2,2,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,22,1,3,7,4,6,4,1,2,6,1,8,8,5,2
100,-20,100,-100,-100,-100,,,2,,2,2,2,2,2,1,1,1,1,2,1,,,,0,1,1,1,1,2,2,2,2,2,1,1,,,0,,2,2,2,2,2,1,1,1,1,2,2,,,,0,1,1,1,1,1,2,2,2,2,1,1,,,,0,1,1,1,1,1,2,2,2,2,1,1,,,,0,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,19,1,2,5,3,1,6,1,7,4,2,2,2,7,4
82,81,80,39,-81,-70,,,10,,1,1,1,1,1,1,1,1,1,1,2,,,10,,1,1,1,1,1,1,1,1,1,1,2,,,15,,1,1,1,1,1,1,1,1,1,1,2,,,2,,1,1,1,1,1,2,2,2,2,1,1,,,,0,1,1,1,1,1,2,2,2,2,1,1,,,,10,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,24,1,2,3,4,7,6,2,1,5,1,3,2,8,8
