2018_43-44_lab1_Christoph&Ging_Time_November 5, 2018_18.15
g,s,m,t,d,v,gneun,gneup,gp,gn,g45,g10,g20,g30,g40,g50,g60,g70,g80,g89,g01,sneun,sneup,sp,sn,s45,s10,s20,s30,s40,s50,s60,s70,s80,s89,s01,mneun,mneup,mp,mn,m45,m10,m20,m30,m40,m50,m60,m70,m80,m89,m01,tneun,tneup,tp,tn,t45,t10,t20,t30,t40,t50,t60,t70,t80,t89,t01,dneun,dneup,dp,dn,d45,d10,d20,d30,d40,d50,d60,d70,d80,d89,d01,vneun,vneup,vp,vn,v45,v10,v20,v30,v40,v50,v60,v70,v80,v89,v01,gd0,gd-40,gd-30,gd-20,gd-10,gd10,gd20,gd30,gd40,st0,st-40,st-30,st-20,st-10,st10,st20,st30,st40,mv0,mv-40,mv-30,mv-20,mv-10,mv10,mv20,mv30,mv40,gender,age,ethnicity,edu,sports,sportshr,game,gamehr,music,musichr,vacuum,vacuumhr,dish,dishhr,traffic,traffichr
90,50,100,30,-100,-100,,,10,,1,2,2,1,1,1,1,1,1,2,2,,,3,,2,1,1,1,2,2,2,2,2,1,1,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,0,,2,1,1,1,2,2,2,2,2,1,2,,,,0,2,1,1,2,2,2,2,2,2,1,1,,,,0,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,22,1,2,7,8,6,3,1,3,4,1,2,1,7,4
80,85,87,-94,-90,-90,,,2,,1,2,2,2,1,1,1,1,1,1,2,,,2,,1,2,2,1,1,1,1,1,1,2,1,,,2,,1,2,2,1,1,1,2,2,2,1,2,,,,3,2,1,1,1,2,2,2,2,2,1,1,,,,3,2,1,1,1,2,2,2,2,2,1,1,,,,5,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,19,1,2,5,4,5,5,1,4,5,2,4,1,7,2
65,85,100,-90,-20,-30,,,10,,2,2,2,2,2,1,1,1,1,2,1,,,10,,2,2,2,2,2,1,1,1,1,2,1,,,7,,1,2,2,2,2,1,1,1,1,1,2,,,,20,1,1,1,1,1,2,2,2,2,1,1,,,,3,2,1,1,1,1,2,2,2,2,1,2,,,,5,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,19,1,2,3,4,3,3,1,5,3,1,1,1,7,3
100,100,100,-55,-75,-80,,,5,,1,2,1,1,1,1,1,1,1,2,2,,,5,,1,2,2,1,1,1,1,1,1,2,2,,,2,,1,2,1,1,1,1,1,1,1,1,2,,,,5,1,1,1,2,2,2,2,2,2,1,1,,,,7,2,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,19,1,2,4,3,4,4,1,5,4,2,1,1,7,1
80,100,100,-90,-100,-100,,,1,,1,2,1,1,1,1,1,1,1,2,1,,,2,,1,2,2,2,1,1,1,1,1,2,1,,,1,,1,1,1,1,1,1,1,1,1,2,2,,,,0,1,1,1,1,1,1,2,2,2,1,1,,,,3,2,1,1,2,2,2,2,2,2,1,1,,,,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,18,1,2,3,6,4,2,1,2,6,1,8,8,5,2
90,100,100,-50,-90,-90,,,0,,2,1,1,1,2,2,2,2,2,1,1,,,15,,1,1,1,1,1,1,1,1,1,2,2,,,10,,1,2,2,1,1,1,1,1,1,1,2,,,,0,1,1,1,1,1,1,1,2,2,1,1,,,,10,2,1,1,1,1,2,2,2,2,1,1,,,,10,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,19,1,2,3,3,8,8,1,4,4,2,1,1,7,2
-100,100,57,-59,-100,-39,,,,10,2,2,2,2,2,2,2,2,2,1,1,,,25,,1,2,2,2,2,1,1,1,1,2,2,,,5,,1,1,1,1,1,1,1,1,1,1,2,,,,5,1,1,1,1,1,2,2,2,2,1,1,,,,15,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,24,1,3,4,7,8,8,3,4,3,1,8,8,8,8
80,40,100,-100,-87,-75,,,7,,1,2,2,1,1,1,1,1,1,2,2,,,4,,1,1,1,1,1,1,2,2,2,1,2,,,9,,1,2,2,2,2,1,1,1,1,2,2,,,,10,2,1,1,1,1,2,2,2,2,1,1,,,,5,2,1,1,1,1,2,2,2,2,1,1,,,,5,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,18,1,2,5,3,5,4,1,7,6,3,7,2,7,2
54,75,92,-100,-70,-82,,,8,,1,2,2,2,1,1,1,1,1,1,1,,,10,,1,2,2,2,1,1,1,1,1,2,1,,,20,,1,1,1,1,1,1,1,1,1,2,2,,,,80,1,1,1,1,1,2,2,2,2,1,1,,,,20,2,1,1,1,1,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,21,1,2,3,7,6,4,1,5,3,2,1,1,6,6
90,75,80,-55,-20,-50,,,0,,2,2,2,2,1,1,1,1,1,1,1,,,15,,1,2,2,2,1,1,1,1,1,2,1,,,0,,1,2,2,2,1,1,1,1,1,1,2,,,,0,1,1,1,1,1,1,2,2,2,1,1,,,,20,2,1,1,1,2,2,2,2,2,1,1,,,,10,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,19,1,2,3,6,7,2,4,2,6,1,8,8,4,2
